gene_id,feature_id,lr,df,pvalue,adj_pvalue,external_gene_name
ENSG00000120860,ENST00000240079,0.939097058378437,1,0.332510163360029,0.574119337989419,WASHC3
ENSG00000120860,ENST00000545679,0.939097058378437,1,0.332510163360029,0.574119337989419,WASHC3
ENSG00000148120,ENST00000297979,0.934864283511736,1,0.333602125756977,0.575747139220113,AOPEP
ENSG00000206503,ENST00000706905,0.930155863777259,1,0.334822427250572,0.577594880089387,HLA-A
ENSG00000150687,ENST00000533902,0.928353516459183,1,0.335291128568683,0.578014950951643,PRSS23
ENSG00000060491,ENST00000290291,0.927335458512173,1,0.335556262999067,0.578014950951643,OGFR
ENSG00000060491,ENST00000370461,0.927335458512172,1,0.335556262999067,0.578014950951643,OGFR
ENSG00000152223,ENST00000590884,0.926917975049861,1,0.335665069987725,0.578014950951643,EPG5
ENSG00000196236,ENST00000357137,0.924585601865566,1,0.336273816579649,0.578158020314563,XPNPEP3
ENSG00000196236,ENST00000482652,0.924585601865566,1,0.336273816579649,0.578158020314563,XPNPEP3
ENSG00000108474,ENST00000395844,0.924146268456219,1,0.33638864749419,0.578158020314563,PIGL
ENSG00000108474,ENST00000463810,0.924146268456212,1,0.336388647494192,0.578158020314563,PIGL
ENSG00000135968,ENST00000687832,0.922899507450467,1,0.33671480625228,0.578158020314563,GCC2
ENSG00000143771,ENST00000465271,0.922585961511643,1,0.336796898073889,0.578158020314563,CNIH4
ENSG00000143771,ENST00000468318,0.922585961511643,1,0.336796898073889,0.578158020314563,CNIH4
ENSG00000205531,ENST00000620138,0.919380709952858,1,0.337637630157918,0.578629630835632,NAP1L4
ENSG00000205531,ENST00000469805,0.919380709952854,1,0.337637630157919,0.578629630835632,NAP1L4
ENSG00000075914,ENST00000265564,0.919252191550221,1,0.337671398974305,0.578629630835632,EXOSC7
ENSG00000075914,ENST00000461361,0.919252191550221,1,0.337671398974305,0.578629630835632,EXOSC7
ENSG00000110066,ENST00000405515,0.915664807415851,1,0.338615832826502,0.579990456669983,KMT5B
ENSG00000138621,ENST00000342932,0.912761261503794,1,0.339382834796472,0.580788629480968,PPCDC
ENSG00000138621,ENST00000563393,0.912761261503794,1,0.339382834796472,0.580788629480968,PPCDC
ENSG00000065361,ENST00000411731,0.911088139097586,1,0.339825868172373,0.581289018296626,ERBB3
ENSG00000137831,ENST00000539319,0.909125900836067,1,0.340346449352824,0.581921554298869,UACA
ENSG00000163320,ENST00000398392,0.902953213455916,1,0.341991078418858,0.584215835156442,CGGBP1
ENSG00000163320,ENST00000309534,0.902953213455888,1,0.341991078418866,0.584215835156442,CGGBP1
ENSG00000149577,ENST00000431081,0.899094061057273,1,0.343024742849321,0.585013257617007,SIDT2
ENSG00000149577,ENST00000529484,0.899094061057273,1,0.343024742849321,0.585013257617007,SIDT2
ENSG00000124214,ENST00000371802,0.898946814673195,1,0.343064265868678,0.585013257617007,STAU1
ENSG00000124214,ENST00000371856,0.898946814673138,1,0.343064265868693,0.585013257617007,STAU1
ENSG00000157954,ENST00000288828,0.895314715026501,1,0.344041122638366,0.586161012035962,WIPI2
ENSG00000157954,ENST00000471851,0.895314715026501,1,0.344041122638366,0.586161012035962,WIPI2
ENSG00000214253,ENST00000474120,0.887390833050084,1,0.346185348117003,0.588789949286127,FIS1
ENSG00000214253,ENST00000223136,0.887390833050084,1,0.346185348117003,0.588789949286127,FIS1
ENSG00000011114,ENST00000355125,0.887357327370282,1,0.346194453208135,0.588789949286127,BTBD7
ENSG00000011114,ENST00000298896,0.887357327370253,1,0.346194453208143,0.588789949286127,BTBD7
ENSG00000004487,ENST00000690907,0.882602212969662,1,0.347489943533175,0.590472783837308,KDM1A
ENSG00000004487,ENST00000356634,0.882602212969658,1,0.347489943533176,0.590472783837308,KDM1A
ENSG00000149930,ENST00000416441,0.877961347024723,1,0.348760658570368,0.592367628349949,TAOK2
ENSG00000231312,ENST00000445520,0.87685121995408,1,0.349065557623163,0.592367628349949,MAP4K3-DT
ENSG00000231312,ENST00000662313,0.87685121995408,1,0.349065557623163,0.592367628349949,MAP4K3-DT
ENSG00000171681,ENST00000536444,0.87526003485651,1,0.349503212675768,0.592539790046512,ATF7IP
ENSG00000171681,ENST00000261168,0.875260034856503,1,0.34950321267577,0.592539790046512,ATF7IP
ENSG00000178761,ENST00000564723,0.873613961319734,1,0.34995675053246,0.592539790046512,FAM219B
ENSG00000178761,ENST00000566894,0.873613961319734,1,0.34995675053246,0.592539790046512,FAM219B
ENSG00000113163,ENST00000644072,0.87303842659037,1,0.350115514884525,0.592539790046512,CERT1
ENSG00000107949,ENST00000278100,0.872562207444446,1,0.350246956623638,0.592539790046512,BCCIP
ENSG00000197386,ENST00000510626,0.871213381161311,1,0.350619612365735,0.592539790046512,HTT
ENSG00000197386,ENST00000355072,0.871213381161311,1,0.350619612365735,0.592539790046512,HTT
ENSG00000145425,ENST00000512690,0.871158807813799,1,0.350634701333677,0.592539790046512,RPS3A
ENSG00000255561,ENST00000531487,0.870358679567289,1,0.350856030122992,0.592539790046512,FDXACB1
ENSG00000255561,ENST00000260257,0.870358679556375,1,0.350856030126012,0.592539790046512,FDXACB1
ENSG00000145476,ENST00000378802,0.867839662594903,1,0.351554076397009,0.592704790130327,CYP4V2
ENSG00000145476,ENST00000502665,0.867839662594903,1,0.351554076397009,0.592704790130327,CYP4V2
ENSG00000116670,ENST00000697274,0.867788850256275,1,0.351568176503346,0.592704790130327,MAD2L2
ENSG00000116670,ENST00000376692,0.867788850256275,1,0.351568176503346,0.592704790130327,MAD2L2
ENSG00000029725,ENST00000570487,0.866682864178621,1,0.351875271880948,0.592704790130327,RABEP1
ENSG00000029725,ENST00000537505,0.866682864178621,1,0.351875271880948,0.592704790130327,RABEP1
ENSG00000213983,ENST00000554892,0.86256351001694,1,0.353022304534994,0.594353284705135,AP1G2
ENSG00000135899,ENST00000698101,0.862007414710668,1,0.353177539970489,0.594353284705135,SP110
ENSG00000154723,ENST00000400094,0.861511703331644,1,0.353315997697222,0.594353284705135,ATP5PF
ENSG00000170291,ENST00000396628,0.859755990609724,1,0.353806984872487,0.594919893081886,ELP5
ENSG00000243335,ENST00000639828,0.857415952911286,1,0.354462830509965,0.595245959432279,KCTD7
ENSG00000243335,ENST00000639879,0.857415952911286,1,0.354462830509965,0.595245959432279,KCTD7
ENSG00000140992,ENST00000268673,0.856863549334904,1,0.354617896018345,0.595245959432279,PDPK1
ENSG00000140992,ENST00000342085,0.856863549334889,1,0.354617896018349,0.595245959432279,PDPK1
ENSG00000145675,ENST00000521381,0.855693772647015,1,0.354946571240117,0.59553861670244,PIK3R1
ENSG00000124222,ENST00000371132,0.852184179258519,1,0.355935177540343,0.596678475294606,STX16
ENSG00000124222,ENST00000371141,0.852184179258519,1,0.355935177540343,0.596678475294606,STX16
ENSG00000138709,ENST00000512292,0.849287873352267,1,0.356753873009873,0.597791227071254,LARP1B
