feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000416602,1122,0.00384603486141497,0.0475304094370588,-0.0780926499294692,5,10624,""
ENST00000416614,159,0.0093116660405131,0.686962772407768,-0.0846362856256044,1,12218,NOP14
ENST00000416614,469,0.00936978602620012,0.277018023537934,-0.0776479684638572,3,11442,NOP14
ENST00000416614,1627,0.00946094835178158,0.0806303072193014,-0.06664274458709,5,10023,NOP14
ENST00000416919,220,5.74440840587145e-05,0.00362054395253698,-0.161980084175343,5,12717,LGALS8
ENST00000417015,638,0.00869457062968248,0.188963818732253,-0.0659820069835042,4,11028,BTD
ENST00000417015,1561,0.00871662357868931,0.0774113553656456,-0.06338429017313,5,9818,BTD
ENST00000417098,58,0.000771581325652552,0.182676656061134,-0.129116587919744,2,12706,SATB2
ENST00000417201,222,5.80482922760341e-05,0.00362566495810581,-0.195524155580861,5,13092,RBM18
ENST00000417874,905,0.00222940111756461,0.0340999701915792,-0.100944504484684,5,11458,NGLY1
ENST00000418039,95,6.31599202909858e-06,0.000916484310348189,-0.215411335206058,5,13251,TBC1D2B
ENST00000418076,141,0.00864986266665407,0.686962772407768,-0.0630742395477665,1,11423,FRY
ENST00000418076,352,0.00868887488255584,0.337787508176414,-0.0595039995733646,2,10439,FRY
ENST00000418458,310,0.00240313631713903,0.107489961849838,-0.0952383773918399,4,12101,GNL3
ENST00000418458,936,0.00241592385062272,0.0357897437101866,-0.0914888349748383,5,11156,GNL3
ENST00000418501,1240,0.00494783339631519,0.0553112330749465,-0.0950515908495845,5,11280,USP54
ENST00000418646,639,0.000836126141113436,0.0181435447146775,-0.114516991875293,5,11828,GPCPD1
ENST00000418703,1085,0.00347724030238317,0.0444381696155253,-0.0815944204067115,5,10770,TRPV4
ENST00000418976,1185,0.00439205264406107,0.0513925754958234,-0.0881272231948054,5,11054,SWI5
ENST00000419036,471,0.00945110142705436,0.27823561016462,-0.0726659515488629,3,11246,SLC4A7
ENST00000419036,670,0.00951984584762458,0.196349425920541,-0.0649228583510333,4,10967,SLC4A7
ENST00000419198,14,3.7443260196128e-06,0.00370848747056793,-0.221220111091742,4,13576,EMC9
ENST00000419292,232,7.07410258868478e-05,0.00422799596959927,-0.174522507841843,5,12886,MTERF1
ENST00000419300,37,0.000257118681483523,0.0963569631743388,-0.176410017513812,2,13279,LINC00963
ENST00000419348,182,0.000950564240320782,0.0723388632868713,-0.114829718458277,4,12551,HTATIP2
ENST00000419600,173,0.00205578732660766,0.164771948385791,-0.491308396493385,3,13864,TSPAN7
ENST00000419869,203,0.00430543368959802,0.289972765767841,-0.152234139718373,2,13059,STRAP
ENST00000420353,116,1.1104768555005e-05,0.00131753479392654,-0.244405489307507,5,13421,ATF7
ENST00000420455,197,4.39366592057235e-05,0.00309251632764752,-0.171651336786618,5,12856,TMEM50B
ENST00000420808,157,2.31576215822926e-05,0.00204524573796222,-0.21242114188459,5,13230,NISCH
ENST00000420843,500,0.000462063389030278,0.0127951811401551,-0.108103734592325,5,11683,ARRB1
ENST00000420936,274,0.00594520388000966,0.299905472167826,-0.0788565209037514,2,11416,ILK
ENST00000420936,1352,0.00603924896970881,0.0619120192486991,-0.065817253667698,5,9973,ILK
ENST00000420993,87,0.00553008666939603,0.686962772407768,-0.106905922862617,1,12741,NCAPH2
ENST00000421293,800,0.00158526329197579,0.0274765760081704,-0.130585282130641,5,12171,TP53TG1
ENST00000422000,540,0.00655630041757938,0.168252704914608,-0.0842146110741315,4,11767,CCDC77
ENST00000422000,1409,0.00657635979973163,0.0647181014784094,-0.0808990752050712,5,10742,CCDC77
ENST00000422447,68,0.000177367185135424,0.0358011724580963,0.657143213500121,4,7,LDHA
ENST00000422453,992,0.00281516064664533,0.0393498160548228,-0.0835304671960681,5,10856,CNBP
ENST00000422725,100,7.02049801638491e-06,0.000962369328991013,-0.181838604162288,5,12965,FNDC10
ENST00000423069,1640,0.00960609855155376,0.0811198330396081,-0.0863649541349617,5,10985,CPT1B
ENST00000423313,111,1.00242017840433e-05,0.00124859638792403,-0.191268515274552,5,13063,KIAA0040
ENST00000423391,383,0.0068398813427276,0.247019340614016,-0.1126595211777,3,12502,ACTBL2
ENST00000423391,1443,0.00692231471769756,0.0664997718673379,-0.09669202998716,5,11328,ACTBL2
ENST00000423484,423,0.0003022937529013,0.00990923209865111,-0.150450302797757,5,12559,ZNF736
ENST00000423738,148,0.0016650039080146,0.155992866138719,-0.087991427363792,3,11831,ARMCX4
ENST00000423738,825,0.0017076841168102,0.0287015126832609,-0.0755202014382152,5,10519,ARMCX4
ENST00000423760,368,0.00654887495011602,0.244859156015859,-0.0761893469137768,3,11378,PHF14
ENST00000423938,362,0.00896163310585474,0.339802730505946,-0.0676031826540591,2,10890,MUC20
ENST00000424099,313,0.00014323652921182,0.00634542400655302,-0.127896195357355,5,12121,RBM45
ENST00000424100,439,0.00862643276788823,0.271970661954317,-0.0671284499594157,3,10998,GPR85
ENST00000424120,1222,0.0048038623712078,0.0545092926670764,-0.0777266498811862,5,10608,CC2D2A
ENST00000424337,727,0.0011942415298219,0.0227776520667269,-0.125843917050599,5,12077,GTF2IRD1
ENST00000424542,305,0.00678748531493125,0.30535919307004,-0.0918266789341247,2,11887,NHERF2
ENST00000424542,382,0.00680395038421458,0.246972712113925,-0.089299339146947,3,11866,NHERF2
ENST00000424542,556,0.00686583883025619,0.170964406058372,-0.0797838357952231,4,11610,NHERF2
ENST00000424697,379,0.00673182302398448,0.245960732281964,-0.198697022700747,3,13500,ZNF3
ENST00000424697,161,2.48973900557438e-05,0.00213913662922891,-0.232797844493005,5,13353,ZNF3
ENST00000424749,418,0.00814664965314623,0.268517907934839,-0.0841068921026976,3,11705,FAM47E
ENST00000424842,1101,0.00364710247046642,0.0459316283882719,-0.105408643574301,5,11597,DLG5
ENST00000424989,1023,0.00304165695481643,0.0412026576583206,-0.0772676160447701,5,10595,LITATS1
ENST00000425231,1513,0.00812206454169123,0.0744352590450037,-0.0673277999361811,5,10064,CDCP1
ENST00000425248,1431,0.00674669753179852,0.0653736603605299,-0.0678427128106943,5,10094,COPG2
ENST00000425491,508,0.00591203058996577,0.161099427287383,-0.0831254805198982,4,11724,MAPK9
ENST00000425534,267,0.00010255384015289,0.00532588594591748,-0.164148750559486,5,12755,EIF4E3
ENST00000425562,677,0.00102073392953807,0.020906198917245,-0.124613785563349,5,12049,LRCH3
ENST00000425675,723,0.00118289493477621,0.0226860597034674,-0.0985606971950804,5,11387,ISOC2
ENST00000425690,420,0.00412606861017391,0.136006204048845,-0.100973489472619,4,12253,PVR
ENST00000425707,1506,0.00803908349217847,0.0739902580240566,-0.0836500630001271,5,10864,RARA
ENST00000425708,232,0.00352278481717718,0.207186934522447,-0.101841761810303,3,12257,ZNF445
ENST00000425898,520,0.000515867915145719,0.0137558163680972,-0.0852376232402185,5,10941,FAAP100
ENST00000426073,23,0.00142735484750445,0.686962772407768,-0.204738889466337,1,13644,ARHGEF7
ENST00000426126,40,7.51430557457556e-07,0.000256098809094759,-0.230971603786342,5,13344,ZDHHC17
ENST00000426455,596,0.00793551852352713,0.184620637327562,-0.260737909431907,4,13696,STAG3
ENST00000426542,1254,0.005104217467749,0.0564034569173648,-0.0597629782110189,5,9585,ARHGEF28
ENST00000426546,1164,0.00423718212197735,0.0504748859994312,-0.0981951585103445,5,11369,CCDC107
ENST00000426677,1136,0.00393906229898191,0.0480801389416225,-0.0693651073898334,5,10185,TOMM40
ENST00000427199,166,0.00957958801149511,0.686962772407768,0.260984464707848,1,160,TICAM2
ENST00000427199,33,0.000248052586722044,0.0963569631743388,-0.169513912731902,2,13218,TICAM2
